Velocità;DistanzaLineaCentrale;SensoreSXSX;SensoreSX;SensoreCentrale;SensoreDX;SensoreDXDX;AngoloTraccia
4.99181;0.334899;11.8111;32.6752;200.0;63.3986;23.4916;0.00453394;1
5.33721;0.334907;11.8097;32.6617;200.0;63.4235;23.4942;0.00442856;1
5.71823;0.334916;11.8093;32.6589;200.0;63.4283;23.4948;0.00440949;1
6.06373;0.334923;11.8091;32.6572;200.0;63.4311;23.4952;0.004399;1
6.407;0.33493;11.8083;32.65;200.0;63.4444;23.4966;0.00434321;1
6.7526;0.334936;11.8081;32.6489;200.0;63.446;23.4969;0.00433749;1
7.09594;0.334942;11.8074;32.6424;200.0;63.4581;23.4981;0.00428694;1
7.44153;0.334947;11.8073;32.6418;200.0;63.4589;23.4983;0.00428456;1
7.78655;0.334953;11.8066;32.636;200.0;63.4697;23.4994;0.00423926;1
8.13923;0.334957;11.8066;32.636;200.0;63.4693;23.4995;0.00424116;1
8.49493;0.334961;11.8061;32.631;200.0;63.4786;23.5004;0.00420254;1
8.85625;0.334964;11.8061;32.6316;200.0;63.4772;23.5004;0.00420922;1
9.21796;0.334967;11.8056;32.6274;200.0;63.485;23.5012;0.00417631;1
9.58503;0.334969;11.8057;32.6285;200.0;63.4829;23.501;0.00418585;1
9.95207;0.334971;11.8054;32.6252;200.0;63.4891;23.5016;0.00415963;1
10.3257;0.334971;11.8055;32.6269;200.0;63.4859;23.5013;0.00417345;1
10.6688;0.334971;11.8056;32.6276;200.0;63.4846;23.5012;0.00417918;1
11.0693;0.334969;11.8055;32.6268;200.0;63.4861;23.5013;0.00417202;1
11.4794;0.334968;11.805;32.6207;200.0;63.4977;23.5025;0.00412196;1
11.877;0.334966;11.8054;32.6243;200.0;63.491;23.5017;0.00415057;1
12.2165;0.334963;11.8051;32.6215;200.0;63.4963;23.5022;0.0041272;1
12.5781;0.33496;11.8054;32.6238;200.0;63.4921;23.5018;0.00414437;1
12.9863;0.334957;11.8047;32.6165;200.0;63.5062;23.5031;0.00408381;1
13.428;0.334955;11.8046;32.6147;200.0;63.5095;23.5035;0.00406855;1
13.8453;0.334951;11.8043;32.6118;200.0;63.5153;23.504;0.00404328;1
14.2262;0.334947;11.8044;32.6113;200.0;63.5163;23.504;0.00403803;1
14.5939;0.334942;11.8039;32.6057;200.0;63.5271;23.5051;0.00399082;1
15.0235;0.334937;11.8039;32.6053;200.0;63.5281;23.5051;0.00398558;1
15.4754;0.334931;11.8034;32.5989;200.0;63.5404;23.5062;0.0039317;1
15.9224;0.334925;11.803;32.5946;200.0;63.5488;23.507;0.0038945;1
16.3226;0.334919;11.803;32.5939;200.0;63.5503;23.5071;0.00388687;1
16.7108;0.334915;11.8028;32.5907;200.0;63.5567;23.5077;0.00385826;1
17.0991;0.33491;11.8028;32.5903;200.0;63.5577;23.5077;0.00385302;1
17.5081;0.334904;11.8025;32.586;200.0;63.5661;23.5085;0.0038163;1
17.9544;0.334898;11.8024;32.585;200.0;63.5683;23.5086;0.00380534;1
18.4353;0.334892;11.8021;32.5806;200.0;63.5768;23.5094;0.00376767;1
18.924;0.334886;11.802;32.5788;200.0;63.5804;23.5097;0.00375098;1
19.3967;0.334879;11.8018;32.5755;200.0;63.5871;23.5102;0.00372141;1
19.8656;0.334872;11.8018;32.5746;200.0;63.5891;23.5103;0.00371092;1
20.3191;0.334864;11.8015;32.5707;200.0;63.5969;23.511;0.00367611;1
20.7928;0.334857;11.8015;32.5696;200.0;63.5992;23.5112;0.00366467;1
21.291;0.334849;11.8013;32.566;200.0;63.6064;23.5118;0.00363224;1
21.8202;0.334841;11.8012;32.5641;200.0;63.6103;23.5121;0.00361412;1
22.3766;0.334833;11.801;32.5613;200.0;63.6161;23.5125;0.0035879;1
22.9499;0.334824;11.801;32.5597;200.0;63.6194;23.5127;0.00357169;1
23.5245;0.334815;11.8009;32.5575;200.0;63.6241;23.5131;0.00355023;1
24.0975;0.334806;11.801;32.5569;200.0;63.6255;23.5131;0.00354212;1
24.6739;0.334797;11.8009;32.5552;200.0;63.6294;23.5134;0.00352352;1
25.2552;0.334788;11.801;32.5553;200.0;63.6295;23.5133;0.00352114;1
25.8551;0.334778;11.8011;32.5545;200.0;63.6315;23.5134;0.00351065;1
26.4778;0.334769;11.8012;32.555;200.0;63.631;23.5132;0.00351113;1
27.1214;0.33476;11.8014;32.5553;200.0;63.6308;23.5131;0.00351017;1
27.785;0.334749;11.8017;32.5567;200.0;63.6287;23.5127;0.00351685;1
28.4637;0.334738;11.8019;32.5582;200.0;63.6263;23.5123;0.00352496;1
29.1536;0.334728;11.8023;32.5608;200.0;63.6218;23.5117;0.00354164;1
