Velocità;DistanzaLineaCentrale;TrackEdgeSensors[0];TrackEdgeSensors[1];TrackEdgeSensors[2];TrackEdgeSensors[3];TrackEdgeSensors[4];TrackEdgeSensors[5];TrackEdgeSensors[6];TrackEdgeSensors[7];TrackEdgeSensors[8];TrackEdgeSensors[9];TrackEdgeSensors[10];TrackEdgeSensors[11];TrackEdgeSensors[12];TrackEdgeSensors[13];TrackEdgeSensors[14];TrackEdgeSensors[15];TrackEdgeSensors[16];TrackEdgeSensors[17];TrackEdgeSensors[18];TrackEdgeSensors[19];AngoloTraccia
108.004;0.3505895;0.9748110000000001;0.019519999999999982;-0.8492900000000001;-1.5673;-1.91391;-1.81985;-1.6156300000000001;0.1438999999999993;11.6808;4.9338;-5.78252;-8.50402;-10.21789;-11.605979999999999;-13.012107;-14.282843;-15.405296000000002;-16.460635;-17.473741;0.5060081786791906;1
108.321;0.3489275;0.977299;0.02207000000000008;-0.8464600000000001;-1.56388;-1.9091999999999998;-1.81328;-1.60747;0.1539199999999994;11.6681;4.926400000000001;-5.7972;-8.514019999999999;-10.22542;-11.61204;-13.016541;-14.286138;-15.408066;-16.463172;-17.476239;0.505982873043239;1
108.545;0.34726250000000003;0.979795;0.02466000000000008;-0.84357;-1.56032;-1.9041599999999999;-1.8058800000000002;-1.59769;0.1683099999999996;11.6887;4.887600000000001;-5.81475;-8.525020000000001;-10.23346;-11.61841;-13.021117;-14.289494;-15.410867;-16.465725;-17.478738999999997;0.5059709364225071;1
108.868;0.345595;0.982297;0.027270000000000037;-0.8406399999999999;-1.5567;-1.89895;-1.7981000000000003;-1.5871899999999997;0.18461999999999962;11.7237;4.8352;-5.83357;-8.53646;-10.24172;-11.62492;-13.025758;-14.292881;-15.413684;-16.468286;-17.481243;0.5059648089571981;1
109.184;0.34392500000000004;0.9848079999999999;0.029930000000000057;-0.8375999999999999;-1.5528499999999998;-1.89316;-1.7888399999999998;-1.5737999999999999;0.20869;11.817699999999999;4.7281;-5.85732;-8.54962;-10.25084;-11.63193;-13.030634000000001;-14.296368999999999;-15.416551000000002;-16.470868;-17.483748;0.5059822682544552;1
109.398;0.3422505;0.987326;0.03259000000000008;-0.8345499999999999;-1.54898;-1.88732;-1.7794800000000002;-1.56025;0.23315000000000055;11.914599999999998;4.619399999999999;-5.88129;-8.56286;-10.26001;-11.63898;-13.035532;-14.299870000000002;-15.419426999999999;-16.473458;-17.486259;0.5060006665658766;1
109.738;0.340571;0.989851;0.03526000000000007;-0.8314999999999999;-1.54511;-1.8815000000000002;-1.77021;-1.5468699999999997;0.25712000000000046;12.0;4.515199999999998;-5.9049;-8.575990000000001;-10.26913;-11.646;-13.040424999999999;-14.303374;-15.422308000000001;-16.476055;-17.488778;0.5060172664264411;1
110.028;0.338885;0.992389;0.03796999999999997;-0.8283699999999999;-1.54108;-1.87531;-1.7600099999999999;-1.5317;0.28589000000000053;12.0;4.380099999999999;-5.93142;-8.59015;-10.278780000000001;-11.65334;-13.045466999999999;-14.306946;-15.425226;-16.478671;-17.491305;0.5060479674149635;1
110.263;0.337192;0.994933;0.04064999999999994;-0.8253199999999999;-1.5372400000000002;-1.86959;-1.7510100000000002;-1.5188899999999996;0.3082499999999996;12.0;4.288900000000001;-5.95398;-8.60296;-10.28776;-11.6603;-13.050341;-14.310453;-15.428119;-16.481284;-17.493845;0.5060590445990027;1
110.604;0.335492;0.9974830000000001;0.043299999999999984;-0.82234;-1.5335699999999999;-1.86433;-1.7431800000000002;-1.5083799999999996;0.3243399999999994;12.0;4.239199999999999;-5.97278;-8.61449;-10.29612;-11.66689;-13.055054000000002;-14.313898;-15.430986999999998;-16.483893000000002;-17.496398;0.5060511345983312;1
110.874;0.333785;1.00005;0.046049999999999966;-0.81918;-1.5295;-1.85807;-1.7328800000000002;-1.4930700000000001;0.3533500000000004;12.0;4.106299999999999;-5.99932;-8.62872;-10.30583;-11.674290000000001;-13.060146;-14.317509000000001;-15.433939;-16.486542;-17.498956999999997;0.5060814217840015;1
111.137;0.3320705;1.0026300000000001;0.04872999999999994;-0.81615;-1.52573;-1.8526099999999999;-1.7246200000000003;-1.48176;0.37150000000000033;12.0;4.043799999999999;-6.01942;-8.64074;-10.314449999999999;-11.68105;-13.064952;-14.321005;-15.436842000000002;-16.489177;-17.50153;0.5060791458683153;1
111.478;0.33035000000000003;1.0051999999999999;0.05139999999999993;-0.8131700000000001;-1.5221;-1.8475000000000001;-1.71723;-1.4721499999999998;0.3849900000000005;12.0;4.011000000000001;-6.03684;-8.65186;-10.32264;-11.687560000000001;-13.069646;-14.324459999999998;-15.43973;-16.491812;-17.504115;0.5060628961486255;1
111.738;0.32862250000000004;1.0078;0.05414999999999992;-0.8100400000000001;-1.5181200000000001;-1.8415199999999998;-1.7076999999999998;-1.4584200000000003;0.40960000000000035;12.0;3.908099999999999;-6.060779999999999;-8.66525;-10.33196;-11.69475;-13.074663000000001;-14.328056;-15.442689999999999;-16.494481;-17.506706;0.5060792891077641;1
111.995;0.3268895;1.0104;0.056869999999999976;-0.8069599999999999;-1.5142799999999998;-1.8359100000000002;-1.6990900000000004;-1.4464700000000001;0.42934000000000055;12.0;3.8361999999999994;-6.0819;-8.67769;-10.340819999999999;-11.70167;-13.079559;-14.331607;-15.445633;-16.497149;-17.509307999999997;0.5060810716431267;1
112.364;0.32515099999999997;1.01301;0.05954999999999995;-0.80399;-1.51068;-1.83092;-1.6920900000000003;-1.4376800000000003;0.4405000000000001;12.0;3.8175999999999988;-6.09817;-8.68845;-10.34885;-11.70811;-13.084239;-14.335071;-15.448538;-16.499806;-17.51192;0.5060575326270434;1
112.591;0.32340749999999996;1.01563;0.06229999999999993;-0.80087;-1.50678;-1.82518;-1.6831899999999997;-1.4252000000000002;0.4615899999999996;12.0;3.7373999999999996;-6.12014;-8.70121;-10.357890000000001;-11.71514;-13.089198999999999;-14.338657000000001;-15.451505000000001;-16.502492;-17.514536;0.5060630075570858;1
112.906;0.3216595;1.0182499999999999;0.06504999999999991;-0.7977700000000001;-1.50291;-1.81954;-1.6745600000000003;-1.41327;0.48115999999999987;12.0;3.6667;-6.14128;-8.7137;-10.36679;-11.72211;-13.094130000000002;-14.342234999999999;-15.454471000000002;-16.505181999999998;-17.51716;0.5060638510782841;1
